Test Name, September17, October17, November17, December17, Janurary18, Feburary18, Average%, Average Symbols
MACD0/,0.8421,0.4038,1,0.4314,0.5922,0.3077,0.5962,29.33
RSI45/MOM0/,0.9,0.125,1,0.3333,0.6667,0,0.5042,3.67
MOM0/,0.7636,0.5147,0.7143,0.62,0.4881,0.2778,0.5631,26.5
RSI45/,0.8485,0.3043,1,0.4286,0.5745,0.25,0.5676,12.67
BBANDS0.07/ADX35/,0.6667,0.4359,1,0.5,0.3621,0.5,0.5774,14.5
BBANDS0.07/ADX40/,0.6905,0.4792,0.6667,0.4909,0.403,0.5,0.5384,18.17
BBANDS0.07/ADX45/,0.6304,0.5,0.6667,0.5,0.4143,0.5,0.5352,19.67
BBANDS0.07/ADX50/,0.6346,0.5085,0.6667,0.5224,0.44,0.5,0.5454,22.33
RSI50/MOM0/MACD0/BOP0.05/BBANDS0.07/ADX20/,1,1,0,0.6667,1,0,0.6111,0.83
RSI50/MOM0/MACD0/BOP0.05/BBANDS0.07/ADX25/,1,1,0,0.75,0.5,0,0.5417,1.17
RSI50/MOM0/MACD0/BOP0.05/BBANDS0.07/ADX30/,1,1,0,0.75,0.6,0,0.5583,1.33
RSI50/MOM0/MACD0/BOP0.05/BBANDS0.07/ADX35/,1,1,0,0.75,0.6,0,0.5583,1.5
RSI50/MOM0/MACD0/BOP0.05/BBANDS0.07/ADX40/,1,1,0,0.6,0.6667,0,0.5444,1.67
RSI50/MOM0/MACD0/BOP0.05/BBANDS0.07/ADX45/,1,1,0,0.6,0.6667,0,0.5444,1.67
RSI50/MOM0/MACD0/BOP0.05/BBANDS0.07/ADX50/,1,1,0,0.6,0.6667,0,0.5444,1.67
RSI50/MOM0/MACD0/BOP0.05/BBANDS0.06/,0,1,0,0.6,0.8,0,0.4,1.33
RSI50/MOM0/MACD0/BOP0.05/BBANDS0.05/,0,1,0,0.6,0.75,0,0.3917,1.17
RSI50/MOM0/MACD0/BOP0.05/BBANDS0.04/,0,1,0,0.75,1,0,0.4583,1
RSI50/MOM0/MACD0/BOP0.03/,0.5714,0.6667,1,0.6667,0.5,0,0.5675,3.67
RSI50/MOM0/MACD0/BOP0.01/,0.5714,0.6667,1,0.6667,0.5,0,0.5675,3.67
MOM0/MACD0/BOP0.05/BBANDS0.07/ADX20/,0.75,0.5,0,0.4,0.5,0,0.3583,1.67
MOM0/MACD0/BOP0.05/BBANDS0.07/ADX25/,0.75,0.5,0,0.5,0.4615,0,0.3686,2.33
MOM0/MACD0/BOP0.05/BBANDS0.07/ADX30/,0.8,0.6,0,0.5,0.4706,0,0.3951,3.67
MOM0/MACD0/BOP0.05/BBANDS0.07/ADX35/,0.8182,0.6667,0,0.5,0.5263,0,0.4185,4.67
MOM0/MACD0/BOP0.05/BBANDS0.07/ADX40/,0.7857,0.7,0,0.4286,0.5,0,0.4024,5.33
MOM0/MACD0/BOP0.05/BBANDS0.07/ADX45/,0.7857,0.7,0,0.4286,0.5,0,0.4024,5.33
MOM0/MACD0/BOP0.05/BBANDS0.07/ADX50/,0.8,0.7273,0,0.4286,0.5,0,0.4093,5.67
MOM0/MACD0/BOP0.05/BBANDS0.06/,0.8333,0.5,0,0.4286,0.6667,0,0.4048,4.17
MOM0/MACD0/BOP0.05/BBANDS0.05/,0.8571,0.3333,0,0.4286,0.7,0,0.3865,2.83
MOM0/MACD0/BOP0.05/BBANDS0.04/,0.6667,1,0,0.6,0.5,0,0.4611,1.33
RSI50/MACD0/BOP0.05/BBANDS0.07/ADX20/,1,1,0,0.5,1,0,0.5833,1.33
RSI50/MACD0/BOP0.05/BBANDS0.07/ADX25/,1,1,0,0.6,0.3333,0,0.4889,1.67
RSI50/MACD0/BOP0.05/BBANDS0.07/ADX30/,0.75,1,0,0.6,0.4545,0,0.4674,2
RSI50/MACD0/BOP0.05/BBANDS0.07/ADX35/,0.75,1,0,0.6,0.4615,0,0.4686,2.33
RSI50/MACD0/BOP0.05/BBANDS0.07/ADX40/,0.75,0.6667,0,0.5,0.5333,0,0.4083,2.67
RSI50/MACD0/BOP0.05/BBANDS0.07/ADX45/,0.75,0.6667,0,0.4286,0.5333,0,0.3964,2.67
RSI50/MACD0/BOP0.05/BBANDS0.07/ADX50/,0.75,0.6667,0,0.4286,0.5333,0,0.3964,2.67
RSI50/MACD0/BOP0.05/BBANDS0.06/,0.6667,0.5,0,0.4286,0.5833,0,0.3631,2.17
RSI50/MACD0/BOP0.05/BBANDS0.05/,0,1,0,0.4286,0.5556,0,0.3307,1.5
RSI50/MACD0/BOP0.05/BBANDS0.04/,0,1,0,0.6,0.8,0,0.4,1.33
RSI50/MACD0/BOP0.03/,0.7368,0.4444,1,0.4615,0.5333,0,0.5293,6.83
RSI50/MACD0/BOP0.01/,0.7368,0.4444,1,0.4615,0.5333,0,0.5293,6.83
MACD0/BOP0.05/BBANDS0.07/ADX20/,0.8333,0.6,0,0.2857,0.5714,0,0.3817,2.33
MACD0/BOP0.05/BBANDS0.07/ADX25/,0.8333,0.6,0,0.3636,0.4,0,0.3661,3.33
MACD0/BOP0.05/BBANDS0.07/ADX30/,0.7857,0.6667,0,0.3846,0.44,0,0.3795,5.17
MACD0/BOP0.05/BBANDS0.07/ADX35/,0.8,0.7,0,0.3333,0.5,0,0.3889,6.5
MACD0/BOP0.05/BBANDS0.07/ADX40/,0.7895,0.6667,0,0.3529,0.5,0,0.3848,7.67
MACD0/BOP0.05/BBANDS0.07/ADX45/,0.7895,0.6667,0,0.3333,0.5,0,0.3816,7.67
MACD0/BOP0.05/BBANDS0.07/ADX50/,0.8095,0.6923,0,0.3333,0.5143,0,0.3916,8.33
MACD0/BOP0.05/BBANDS0.06/,0.875,0.4286,0,0.2667,0.6154,0,0.3643,6.17
MACD0/BOP0.05/BBANDS0.05/,0.875,0.4,0,0.25,0.625,0,0.3583,3.67
MACD0/BOP0.05/BBANDS0.04/,0.6667,0.6667,0,0.375,0.5714,0,0.38,1.83
RSI50/MOM0/BOP0.05/BBANDS0.07/ADX20/,1,1,0,0.6667,1,0,0.6111,0.83
RSI50/MOM0/BOP0.05/BBANDS0.07/ADX25/,1,1,0,0.75,0.5,0,0.5417,1.17
RSI50/MOM0/BOP0.05/BBANDS0.07/ADX30/,1,1,0,0.75,0.5,0,0.5417,1.33
RSI50/MOM0/BOP0.05/BBANDS0.07/ADX35/,1,1,0,0.75,0.5,0,0.5417,1.5
RSI50/MOM0/BOP0.05/BBANDS0.07/ADX40/,1,1,0,0.6,0.5714,0,0.5286,1.67
