TestName, AverageSymbols, AverageGain, December17, Feburary18, Janurary18, March18, November17, October17, September17, SuccessPercent
RSI45/MOM0/MACD2/ADX45/, 2.57, 1.0098, 0.4, 0.3333, 0.8571, 0.3333, 1, 0.2, 1, 0.5891
RSI45/MOM0/MACD2/ADX50/, 2.71, 1.0108, 0.4, 0.3333, 0.8571, 0.4286, 1, 0.2, 1, 0.602714285714286
MOM0/MACD2/ADX35/, 13.29, 1.015, 0.7368, 0.6667, 0.6389, 0.6842, 1, 0.36, 0.9615, 0.721157142857143
MOM0/MACD2/ADX40/, 16, 1.0161, 0.7778, 0.5455, 0.6585, 0.7, 1, 0.4333, 0.9643, 0.725628571428571
MOM0/MACD2/ADX45/, 17.71, 1.024, 0.7931, 0.4667, 0.6222, 0.6522, 1, 0.5143, 0.9655, 0.716285714285714
MOM0/MACD2/ADX50/, 18.86, 1.0247, 0.8, 0.4667, 0.6458, 0.68, 1, 0.5128, 0.9333, 0.7198
RSI45/MACD2/ADX35/, 5, 1.0034, 0.5556, 0.5, 0.8462, 0.4545, 1, 0.25, 0.9091, 0.645057142857143
RSI45/MACD2/ADX40/, 5.71, 1.0045, 0.6, 0.5, 0.875, 0.4545, 1, 0.25, 0.9167, 0.6566
RSI45/MACD2/ADX45/, 5.86, 1.02, 0.6, 0.3333, 0.875, 0.4545, 1, 0.25, 0.9167, 0.632785714285714
RSI45/MACD2/ADX50/, 6.14, 1.0193, 0.6, 0.3333, 0.875, 0.5, 1, 0.25, 0.9231, 0.6402
RSI50/ADX35/, 14.86, 1.0192, 0.8, 0.6, 0.6739, 0.6667, 1, 0.36, 0.9583, 0.7227
RSI50/ADX40/, 16.71, 1.0186, 0.7826, 0.6, 0.7091, 0.6774, 1, 0.3704, 0.96, 0.7285
RSI50/ADX45/, 17.43, 1.0281, 0.76, 0.4286, 0.7018, 0.6774, 1, 0.4138, 0.96, 0.705942857142857
RSI50/ADX50/, 17.86, 1.0279, 0.76, 0.4286, 0.7018, 0.6875, 1, 0.4333, 0.9615, 0.710385714285714
RSI45/MOM0/MACD3/BOP0.07/ADX35/, 3.86, 0.9947, 0.4, 0.5, 0.8182, 0.4286, 1, 0.25, 1, 0.628114285714286
RSI45/MOM0/MACD3/BOP0.07/ADX40/, 4.29, 0.9938, 0.4, 0.5, 0.8333, 0.5, 1, 0.25, 1, 0.640471428571429
RSI45/MOM0/MACD3/BOP0.07/ADX45/, 4.57, 1.0094, 0.4, 0.3333, 0.8333, 0.5556, 1, 0.25, 1, 0.6246
RSI45/MOM0/MACD3/BOP0.07/ADX50/, 4.71, 1.01, 0.4, 0.3333, 0.8333, 0.6, 1, 0.25, 1, 0.630942857142857
RSI45/MOM0/MACD3/BOP0.05/, 4.71, 1.01, 0.4, 0.3333, 0.8333, 0.6, 1, 0.25, 1, 0.630942857142857
MOM0/MACD3/BOP0.07/ADX35/, 20.14, 1.0156, 0.7619, 0.625, 0.6786, 0.7586, 1, 0.625, 0.9487, 0.771114285714286
MOM0/MACD3/BOP0.07/ADX40/, 24, 1.0213, 0.8, 0.625, 0.6984, 0.7812, 1, 0.6757, 0.9318, 0.787442857142857
MOM0/MACD3/BOP0.07/ADX45/, 26.14, 1.0272, 0.8182, 0.5, 0.6812, 0.75, 1, 0.6905, 0.9333, 0.7676
MOM0/MACD3/BOP0.07/ADX50/, 27.43, 1.0287, 0.8108, 0.5, 0.6857, 0.7632, 1, 0.6739, 0.9348, 0.766914285714286
MOM0/MACD3/BOP0.05/, 29.43, 1.0288, 0.7805, 0.5, 0.6974, 0.775, 1, 0.6667, 0.902, 0.760228571428571
RSI45/MACD3/BOP0.07/ADX35/, 6, 0.9957, 0.375, 0.5, 0.7222, 0.5, 1, 0.2222, 0.9412, 0.608657142857143
RSI45/MACD3/BOP0.07/ADX40/, 7, 0.9956, 0.4444, 0.5, 0.7727, 0.5385, 1, 0.2, 0.9444, 0.628571428571429
RSI45/MACD3/BOP0.07/ADX45/, 7.29, 1.0111, 0.4444, 0.3333, 0.7727, 0.5714, 1, 0.2, 0.9444, 0.609457142857143
RSI45/MACD3/BOP0.07/ADX50/, 7.57, 1.0108, 0.4444, 0.3333, 0.7727, 0.6, 1, 0.2, 0.9474, 0.613971428571429
RSI45/MACD3/BOP0.05/, 7.57, 1.0108, 0.4444, 0.3333, 0.7727, 0.6, 1, 0.2, 0.9474, 0.613971428571429
