Symbol,ADX,BBands,BOP,MACD,MOM,RSI,Gain
ANDE,17.8549,0.066972713,-0.4898,-0.1099,-0.017977528,40.0045,1.096062992
APPF,37.3051,0.034077108,-0.3467,-0.5368,-0.003855422,46.9674,1.022619048
CNTY,24.428,0.181730559,0.1172,0.2581,0.047535597,60.1907,0.988222698
FMC,26.6053,0.099761251,0.0189,0.8614,0.055546165,62.7439,0.965190203
HRTX,19.6569,0.247911602,0.1209,0.6334,0.157734807,62.5171,1.25
IPCC,26.7447,0.029871698,-0.3067,0.5208,-0.003773585,64.3544,0.962858486
JLL,45.7938,0.033418384,-0.3513,1.246,0.008648358,70.1589,1.022135206
LGL,21.7503,0.038060313,-0.346,-0.0121,0.011297041,51.4377,0.994827586
LPX,24.3615,0.04770754,-0.7676,-0.1629,-0.016603199,47.313,1.129671151
MTW,74.0299,0.043624809,-0.2664,3.2053,0.002592781,91.6698,1.0507074
MCHP,35.2797,0.034897588,0.2556,-0.1731,0.022598999,49.1616,1.062624254
NSSC,18.8881,0.314605714,-0.5111,-0.3057,-0.034285714,44.9346,1.056497175
NSA,29.3795,0.062105649,0.1987,0.3855,0.042039618,74.398,0.928090297
ONDK,31.1456,0.24466899,0.3247,0.2102,0.064111498,69.7112,0.772460118
ON,42.9728,0.11451767,0.3647,0.173,0.073065903,65.7256,1.149504091
PARR,26.7397,0.107323651,-0.7723,-0.1625,-0.044917012,46.5561,0.935434672
PRIM,26.5571,0.067679294,-0.3971,0.1,-0.001471129,49.3547,0.951316264
SNHY,62.6711,0.183394651,0.4268,1.5789,0.118163549,79.1022,0.991911765
TXMD,23.6233,0.171390728,-0.1985,0.0203,-0.102980132,53.9657,0.987261146
ZAYO,21.3624,0.093771739,0.4441,0.3705,0.016304348,62.2231,0.997555676
ACNB,16.6791,0.056236887,0.2821,0.4715,0.033164129,60.7454,1.016666667
AKCA,20.4706,0.171705069,-0.3516,0.0555,-0.01359447,47.3754,1.344264675
AMED,19.4464,0.071352685,-0.22,-0.2041,-0.011990135,47.3987,0.999816041
APLE,31.0527,0.033329934,0.1635,0.1036,0.001223865,62.6135,1.006609049
AAOI,21.9145,0.204241142,-0.788,-1.1066,-0.024272871,34.8297,0.860794429
ASH,27.8257,0.065488764,-0.6511,0.4919,0.010758427,53.5018,0.996860068
CKX,33.7538,0.10348723,-0.3333,-0.1538,-0.049013752,38.9311,1.009420432
CSWC,25.073,0.054271903,-0.3889,-0.1055,-0.019456193,43.8234,0.974025974
CRZO,29.5284,0.210272556,0.3573,0.7616,0.078007519,62.1794,0.888020833
CBOE,83.2604,0.024705033,0.0241,1.5547,-0.014238703,85.1589,1.080766161
CDEV,38.4569,0.139212121,-0.3153,0.1356,0.048080808,57.6141,1.052160954
XEC,23.8398,0.131869519,0.3519,1.4872,0.072026883,63.345,0.909760152
CLAR,23.0094,0.024968153,0.2,0.1011,0.01910828,68.1411,0.944572486
COHR,24.7289,0.063266246,-0.269,-0.0322,-0.009467791,54.5078,0.927401111
CVGI,47.9766,0.07878391,-0.328,0.1944,0.034611787,66.7926,1.106100796
CLR,51.0356,0.173611478,0.6877,2.0712,0.097300359,79.8168,1.027634488
CROX,47.0703,0.298164557,0.6157,0.6723,0.150791139,72.4975,1.069337442
FANG,35.1925,0.23269703,0.7491,4.4738,0.109433663,80.4745,0.991892735
DIOD,32.4501,0.040613882,-0.1829,-0.4295,0.035647018,44.8788,0.978817902
DXC,51.7357,0.016491043,-0.2508,0.1867,0.001580611,66.8967,1.062899006
ETP,37.5499,0.133950893,0.6119,0.2917,0.056361607,49.9856,1.059599156
ETSY,50.6415,0.321721271,0.726,1.0491,0.054767726,71.2716,0.905848787
EVBG,36.5693,0.174939435,0.542,0.7436,0.086742934,68.0701,1.102461743
EXTN,16.9807,0.095909669,0.2,0.1893,0.062086514,58.2936,0.900340452
EXTR,28.1717,0.090846645,-0.0838,-0.0035,0.001277955,57.4126,1.221523959
FBM,24.3741,0.079756592,-0.2515,0.1864,0.022853279,59.2827,1.064333333
GFN,64.1241,0.1075,0.6188,0.1003,0.016176471,78.3319,1.021582734
GECC,37.4688,0.064136179,-0.2574,-0.012,0.014227642,43.1009,1.013981859
GRBK,33.5676,0.087132743,-0.5714,0.0053,-0.021238938,57.615,0.966527197
GDOT,70.5402,0.034679721,-0.35,0.247,0.000896117,66.5698,1.029616148
