Symbol,ADX,Bbands,BOP,MACD,MOM,RSI,Gain
WLL,55.8596,0.261703057,-0.6759,-0.2157,-0.013973799,26.3752,1.191810345
WWE,20.2204,0.086690745,0.4549,0.117,0.023386005,66.7779,1.060278902
ARCB,33.2299,0.208199667,0.3301,1.2105,0.091181364,72.7046,1.119008264
TBBK,34.3906,0.104942675,0.1,0.0661,0.031847134,64.0378,1.047381546
BAS,32.2514,0.554809461,-0.9029,-2.1736,-0.056373193,29.7194,1.269902913
COG,20.7001,0.134648307,0.6183,0.1019,0.032303684,67.5246,0.995361781
CVX,18.9212,0.044520044,-0.3567,0.1517,0.005902905,55.1521,1.07658483
CSBK,18.4479,0.073104762,-0.6149,-0.1882,-0.002031746,38.139,1.063051702
CWBC,18.2533,0.028931373,0.1667,0.0117,0.000882353,52.3408,1.011132176
XOM,24.2048,0.073569283,-0.8029,-1.0194,-0.012328588,30.553,1.067729343
FET,26.4988,0.389653333,-0.4,-0.783,0.016,28.7574,1.379310345
GRC,18.1015,0.135589812,0.01,0.3541,0.046447721,60.2614,1.076997735
GNBC,32.9286,0.151372549,-0.85,-0.1111,-0.074019608,52.2426,1.155339806
HTH,23.645,0.120143158,-0.7426,-0.5218,-0.069810526,33.2993,1.091891892
IMGN,47.0182,0.44574969,0.6376,0.4439,0.216604709,67.4234,0.932038835
IMO,25.1656,0.071721854,0.5849,0.0838,0.034304636,58.2505,1.062830688
KALV,26.34,0.159402985,-0.1938,-0.2098,-0.053044776,42.5179,0.973707021
NOV,23.2538,0.142503259,-0.5619,-0.5154,0.007040417,35.5186,1.165149545
NLNK,27.1791,0.27915276,0.4632,-0.0353,0.102182285,41.1444,1.286407767
OSB,45.3956,0.114964559,-0.3567,0.397,0.057102353,75.1503,1.122074993
NSH,49.5089,0.128326531,-0.4584,-0.4462,0.024943311,36.4582,0.995485327
OPY,20.7662,0.037882353,0.2609,0.0133,0.003095975,45.5144,1.066465257
PBIP,27.8163,0.047056911,0.912,0.1671,0.010840108,59.0533,1.027642276
SVBI,37.9987,0.042771429,-0.7778,-0.0451,-0.032142857,42.9528,1.021126761
SBBX,27.191,0.042089172,-0.1297,-0.1291,-0.003821656,44.2566,1.014732632
TRP,27.0358,0.049852507,-0.173,0.1518,0.021317601,65.2187,0.97086999
AEIS,27.5841,0.09361588,-0.1694,0.2146,0.01555794,58.1738,1.081750067
ARE,21.3137,0.019432811,0.0816,-0.0373,-0.011277824,62.3451,0.976013777
ALSN,21.281,0.139103881,-0.6069,-0.6964,-0.024942922,38.3599,1.079613307
AVD,23.485,0.047744472,0.8,0.2791,0.010810811,67.9271,1.137254902
AMKR,22.8443,0.094911894,-0.6313,-0.2828,0.024449339,39.706,1.165570175
OFC,20.196,0.046425799,0.2182,-0.1522,0.007763511,49.564,0.987111838
DAIO,50.8222,0.213484487,0.2116,0.0601,0.023866348,58.1143,1.185141509
DO,30.072,0.208715824,-0.3711,-0.0673,0.070091135,47.8971,1.195061728
IVAC,34.9109,0.01461157,-0.8033,-0.3905,0.002754821,29.6422,0.945652174
L,23.5609,0.065278192,-0.6916,-0.3552,-0.027712641,46.4272,1.019553666
MCY,20.8415,0.047273679,-0.5895,0.1795,-0.022187336,52.075,0.985524729
NRZ,18.7833,0.024321729,-0.5699,0.038,-0.009123649,56.5699,1.00959808
PNBK,37.795,0.038662651,0.2499,-0.0191,-0.019278313,54.9378,1.01626506
ROG,64.7532,0.056045831,-0.2182,0.5704,0.014117253,70.7137,1.118118787
SF,19.0705,0.074366488,-0.741,-0.3271,-0.037886917,53.2918,1.115535383
TNET,57.8268,0.1785,-0.1262,0.035,-0.035769231,63.8316,0.960252193
SLCA,48.5703,0.134864865,0.3216,-0.653,0.054711468,32.2462,1.11842576
VCYT,13.7076,0.07216445,0.125,-0.0106,-0.007496977,53.7202,1.071084337
